"SCHOOL_CODE","lat","lon"
100016,36.9841246,-120.0671462
100024,38.6643034,-121.0593162
100107,34.04261,-117.6759264
100115,34.064908,-117.7002579
100164,33.7046034,-116.2330456
100206,38.0088973,-121.2745595
100248,33.5708644,-116.1603204
100289,34.0590393,-118.2666495
100347,34.10515,-117.494281
100362,34.2205002,-119.2084794
100388,36.983314,-121.9855949
100404,38.6531312,-121.1591691
100412,33.5783308,-117.1453842
100461,37.9621996,-121.7892463
100503,33.6974761,-117.1533108
100511,33.2892819,-117.0833669
100537,39.1233797,-121.6459124
100545,33.8634771,-117.4485927
100560,38.1041237,-121.2655863
100578,34.0045279,-117.6599999
100586,33.9588526,-117.7117409
100594,34.0237588,-117.6381313
100610,33.9414091,-118.347108
100636,34.382266,-118.578886
100644,34.376019,-118.513784
100651,34.6589858,-120.4503888
100685,35.2893703,-119.0065292
100735,33.5610908,-117.7355047
100743,34.0151421,-118.273398
100792,37.7793766,-122.230619
100883,33.468176,-117.5983743
100909,33.5535019,-117.6370286
100925,33.2184606,-117.2702776
100933,33.178146,-117.216721
100958,33.8253463,-117.1821225
100974,33.9519199,-117.587948
100982,33.7861105,-117.4977598
101006,33.9335675,-116.9535988
101048,38.5283337,-121.4670182
101097,33.5886403,-117.095221
101121,33.7213495,-116.977145
101139,33.7217337,-117.0161238
101147,39.1235253,-123.2064757
101188,37.3193775,-121.0291974
101253,38.480971,-122.764332
101295,38.5076421,-121.5269532
101360,32.6764078,-117.1067315
101535,33.1360214,-117.0542897
101543,34.6178441,-118.1954722
101592,32.6165399,-117.0149035
101600,34.5110125,-118.6283541
101618,34.1111466,-118.1966919
101626,33.7446083,-117.8637306
101667,33.959139,-118.34899
101683,34.1080205,-118.2417253
101717,36.3271299,-119.6516673
101766,38.670944,-121.3868437
101790,38.4154373,-121.3437072
101857,36.3488995,-119.3407374
102129,34.4036414,-119.5147587
102277,38.636518,-121.5329352
102301,39.9362217,-122.1936452
102327,39.5202843,-121.5752892
102335,33.9873102,-118.4234262
102343,38.5552048,-121.4701111
102376,37.955245,-121.736278
102384,37.7461601,-121.424435
102426,34.0667617,-118.2196562
102483,34.2070438,-118.5982704
102491,34.0171423,-118.2839691
102517,34.1259112,-117.4635045
102566,37.7646641,-121.8936929
102574,36.06061,-119.0100198
102582,33.8851296,-117.9617354
102608,33.1380198,-117.0772421
102616,37.321905,-121.76956
102624,37.0740801,-120.849785
102632,38.0330652,-121.2753777
102665,36.9112738,-121.7609297
102673,36.912782,-121.776179
102707,36.5532307,-119.3769252
102715,33.7785569,-116.9420994
102723,33.8092971,-116.9736807
102731,33.9285686,-117.2715897
102749,33.9609892,-116.986062
102772,33.7586914,-117.0141541
102798,38.788663,-121.275769
102806,38.786814,-121.335935
102822,33.0050997,-117.1165515
102848,34.939358,-120.446653
102863,34.9279139,-120.4562101
102889,33.7280426,-117.7714437
102897,33.8595225,-117.8731748
102939,34.1441295,-117.5176075
102988,37.7529046,-122.1864449
105692,36.6297187,-119.3080227
105700,37.698327,-121.0385764
105718,37.7005413,-121.4423146
105742,33.5636086,-117.1106565
105767,33.8526539,-116.4812099
105783,36.3465212,-119.2829124
105791,33.841397,-117.583035
105809,33.9712917,-117.5649244
105817,37.4195802,-120.7856803
105866,38.3110361,-122.4970007
105874,37.5878975,-122.4784096
105882,33.2177012,-117.2228089
105908,38.399,-121.424396
105932,38.441884,-121.3935829
105957,32.6649163,-116.9774258
105965,32.6485736,-116.948978
105973,37.7706466,-121.2085325
106005,37.2871651,-121.9499568
106088,38.0119878,-121.9671555
106096,33.8302126,-117.2886779
106294,38.5664562,-121.2982497
106336,36.4379538,-121.3313329
106351,34.206171,-118.654262
106419,36.8928528,-119.7569402
106427,34.0141071,-118.25986
106443,38.8472019,-121.2700984
106450,38.6810573,-121.5007474
106476,36.7689319,-119.8904533
106484,37.7717215,-121.5405921
106534,37.3961948,-122.1151076
106575,35.7747709,-119.2275851
106583,37.9655815,-121.7532704
106641,34.5422907,-117.3408974
106690,35.3439831,-118.9292098
106740,36.7942931,-119.8360008
106757,38.5446156,-121.2891247
106765,33.4782742,-117.6708873
106799,32.7556672,-117.0135454
106815,36.608739,-119.4483547
106880,34.0424255,-118.2488478
106898,38.5487946,-121.4512057
106914,34.1930258,-118.3977988
106922,34.0156297,-118.2705709
106930,33.948446,-118.2176219
106955,34.0069057,-118.2600307
107128,37.5847185,-120.9339313
107227,38.625877,-121.048268
107284,34.2758118,-118.7979517
107292,36.2098107,-121.1266988
107318,39.1642206,-121.6246085
107342,38.0033437,-121.8514505
107359,33.5710639,-116.6567001
107375,39.0106357,-121.5533577
107391,36.7131824,-121.6268591
107409,36.6081046,-119.5401932
107425,34.5805424,-117.4326868
107441,34.5122739,-117.4320971
107458,33.7698972,-118.2008371
107730,34.1555893,-117.2948903
107748,37.3508714,-121.8517275
107771,35.5148406,-119.2683818
107805,34.4387227,-117.323965
107862,33.1719181,-117.0912735
107870,33.0851057,-117.0913181
107888,34.1125113,-117.1831716
107912,33.9138916,-118.2088779
107938,36.987951,-120.069058
107946,38.284867,-121.301354
107961,33.6789792,-116.306473
107979,37.7636913,-120.8335188
108019,37.952684,-121.7072371
108027,34.404156,-118.591105
108035,37.760049,-121.132017
108050,38.8029979,-121.2872936
108068,36.693314,-121.6698816
108100,36.7517411,-119.7217907
108118,36.7474304,-119.783226
108134,33.9063879,-117.1814587
108142,36.8608665,-119.7029271
108167,37.3452277,-121.8127534
108175,37.5333241,-120.8569491
108209,38.1039425,-121.301705
108217,38.0537463,-121.391524
108241,33.6058517,-117.2418358
108258,38.6982494,-121.0945188
108266,32.718074,-117.1237004
108274,32.6988317,-117.0927732
108282,32.7473186,-117.1108483
108290,32.7527589,-117.0890566
108340,38.7514901,-122.6143874
108357,37.7242008,-121.4633081
108373,33.7166819,-117.8688923
108381,33.9339657,-118.2039401
108415,38.5794335,-121.5266555
108423,34.488023,-117.163053
108431,34.4965027,-117.3146153
108449,34.4770889,-117.2760611
108464,33.7322322,-116.252174
108480,33.4977679,-117.0757032
108498,33.6041853,-117.1045059
108506,33.470034,-117.068562
108514,38.9068316,-121.317961
108522,35.7427582,-120.8771379
108530,33.5958442,-117.1807453
108548,32.757802,-117.077003
108563,32.7851346,-116.9704609
108589,35.4077051,-119.0612153
108597,34.468672,-118.558402
108605,38.2438851,-122.3206621
108613,37.7781152,-121.229072
108639,33.6287942,-117.1612091
108647,37.9390862,-121.2522826
108662,32.6243799,-116.9773367
108696,37.2958706,-121.8116211
108704,33.5441378,-117.6396738
108720,38.4707119,-121.3241228
108738,38.4003439,-121.441921
108779,33.9031928,-118.1727952
108795,38.700427,-121.3702816
108837,38.6711516,-121.3854697
108860,38.6754435,-121.5262316
108886,34.0800959,-118.2572305
108910,34.0257245,-118.3331804
108928,34.0856148,-118.3254489
109009,36.0630191,-119.0626063
109066,33.7525721,-117.8691271
109074,37.574692,-120.953564
109082,37.6128213,-120.9634662
109090,37.5879056,-120.9756188
109116,33.8838306,-117.2028241
109124,33.8312155,-117.1862593
109140,38.167077,-122.24352
109173,37.7628743,-121.9142774
109181,34.0479558,-118.2709079
109199,34.0680964,-118.2710482
109207,33.9787282,-118.1981446
109223,34.0243971,-118.2178797
109231,33.9594089,-118.2900725
