"SCHOOL_CODE","COUNTY","PUBLIC_PRIVATE","PUBLIC_SCHOOL_DISTRICT","CITY","SCHOOL_NAME","ENROLLMENT","PERCENT","lookup_address","lon","lat"
100016,"MADERA","PUBLIC","MADERA UNIFIED","MADERA","SHERMAN THOMAS CHARTER",37,73,"SHERMAN THOMAS CHARTER MADERA , CA",-120.0671462,36.9841246
100024,"EL DORADO","PUBLIC","BUCKEYE UNION ELEMENTARY","EL DORADO HILLS","OAK MEADOW ELEMENTARY",103,97,"OAK MEADOW ELEMENTARY EL DORADO HILLS , CA",-121.0593162,38.6643034
100107,"SAN BERNARDINO","PUBLIC","ONTARIO-MONTCLAIR","ONTARIO","VISTA GRANDE ELEMENTARY",71,98,"VISTA GRANDE ELEMENTARY ONTARIO , CA",-117.6759264,34.04261
100115,"SAN BERNARDINO","PUBLIC","ONTARIO-MONTCLAIR","MONTCLAIR","MONTERA ELEMENTARY",75,98,"MONTERA ELEMENTARY MONTCLAIR , CA",-117.7002579,34.064908
100164,"RIVERSIDE","PUBLIC","DESERT SANDS UNIFIED","INDIO","DR. REYNALDO J. CARREON JR. ACADEMY",140,95,"DR. REYNALDO J. CARREON JR. ACADEMY INDIO , CA",-116.2330456,33.7046034
100206,"SAN JOAQUIN","PUBLIC","STOCKTON UNIFIED","STOCKTON","GEORGE W. BUSH ELEMENTARY",116,99,"GEORGE W. BUSH ELEMENTARY STOCKTON , CA",-121.2745595,38.0088973
100248,"RIVERSIDE","PUBLIC","COACHELLA VALLEY UNIFIED","THERMAL","LAS PALMITAS ELEMENTARY",99,98,"LAS PALMITAS ELEMENTARY THERMAL , CA",-116.1603204,33.5708644
100289,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES","N.E.W. ACADEMY OF SCIENCE AND ARTS",72,98,"N.E.W. ACADEMY OF SCIENCE AND ARTS LOS ANGELES , CA",-118.2666495,34.0590393
100347,"SAN BERNARDINO","PUBLIC","FONTANA UNIFIED","FONTANA","ALMOND ELEMENTARY",156,99,"ALMOND ELEMENTARY FONTANA , CA",-117.494281,34.10515
100362,"VENTURA","PUBLIC","OXNARD","OXNARD","THURGOOD MARSHALL ELEMENTARY",93,98,"THURGOOD MARSHALL ELEMENTARY OXNARD , CA",-119.2084794,34.2205002
100404,"SACRAMENTO","PUBLIC","FOLSOM-CORDOVA UNIFIED","FOLSOM","SANDRA J. GALLARDO ELEMENTARY",44,95,"SANDRA J. GALLARDO ELEMENTARY FOLSOM , CA",-121.1591691,38.6531312
100412,"RIVERSIDE","PUBLIC","MURRIETA VALLEY UNIFIED","MURRIETA","MONTE VISTA ELEMENTARY",124,99,"MONTE VISTA ELEMENTARY MURRIETA , CA",-117.1453842,33.5783308
100461,"CONTRA COSTA","PUBLIC","ANTIOCH UNIFIED","ANTIOCH","LONE TREE ELEMENTARY",80,91,"LONE TREE ELEMENTARY ANTIOCH , CA",-121.7892463,37.9621996
100503,"RIVERSIDE","PUBLIC","MENIFEE UNION ELEMENTARY","MENIFEE","FREEDOM CREST ELEMENTARY",137,99,"FREEDOM CREST ELEMENTARY MENIFEE , CA",-117.1533108,33.6974761
100511,"SAN DIEGO","PUBLIC","VALLEY CENTER-PAUMA UNIFIED","VALLEY CENTER","LILAC",87,95,"LILAC VALLEY CENTER , CA",-117.0833669,33.2892819
100537,"SUTTER","PUBLIC","YUBA CITY UNIFIED","YUBA CITY","ANDROS KARPEROS",107,99,"ANDROS KARPEROS YUBA CITY , CA",-121.6459124,39.1233797
100545,"RIVERSIDE","PUBLIC","RIVERSIDE UNIFIED","RIVERSIDE","LAKE MATHEWS ELEMENTARY",110,98,"LAKE MATHEWS ELEMENTARY RIVERSIDE , CA",-117.4485927,33.8634771
100560,"SAN JOAQUIN","PUBLIC","LODI UNIFIED","LODI","LOIS E. BORCHARDT ELEMENTARY",102,99,"LOIS E. BORCHARDT ELEMENTARY LODI , CA",-121.2655863,38.1041237
100578,"SAN BERNARDINO","PUBLIC","CHINO VALLEY UNIFIED","CHINO","EDWIN RHODES ELEMENTARY",146,99,"EDWIN RHODES ELEMENTARY CHINO , CA",-117.6599999,34.0045279
100586,"SAN BERNARDINO","PUBLIC","CHINO VALLEY UNIFIED","CHINO HILLS","MICHAEL G. WICKMAN ELEMENTARY",98,98,"MICHAEL G. WICKMAN ELEMENTARY CHINO HILLS , CA",-117.7117409,33.9588526
100594,"SAN BERNARDINO","PUBLIC","CHINO VALLEY UNIFIED","ONTARIO","LIBERTY ELEMENTARY",90,98,"LIBERTY ELEMENTARY ONTARIO , CA",-117.6381313,34.0237588
100610,"LOS ANGELES","PUBLIC","LENNOX","LENNOX","DOLORES HUERTA ELEMENTARY",98,98,"DOLORES HUERTA ELEMENTARY LENNOX , CA",-118.347108,33.9414091
100636,"LOS ANGELES","PUBLIC","NEWHALL","STEVENSON RANCH","PICO CANYON ELEMENTARY",129,96,"PICO CANYON ELEMENTARY STEVENSON RANCH , CA",-118.578886,34.382266
100644,"LOS ANGELES","PUBLIC","NEWHALL","NEWHALL","DR. J. MICHAEL MCGRATH ELEMENTARY",85,98,"DR. J. MICHAEL MCGRATH ELEMENTARY NEWHALL , CA",-118.513784,34.376019
100685,"KERN","PUBLIC","GREENFIELD UNION","BAKERSFIELD","VALLE VERDE ELEMENTARY",196,99,"VALLE VERDE ELEMENTARY BAKERSFIELD , CA",-119.0065292,35.2893703
100735,"ORANGE","PUBLIC","CAPISTRANO UNIFIED","ALISO VIEJO","CANYON VISTA ELEMENTARY",69,96,"CANYON VISTA ELEMENTARY ALISO VIEJO , CA",-117.7355047,33.5610908
100743,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES","ACCELERATED CHARTER ELEMENTARY",72,98,"ACCELERATED CHARTER ELEMENTARY LOS ANGELES , CA",-118.273398,34.0151421
100792,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","OAKLAND","THINK COLLEGE NOW",49,95,"THINK COLLEGE NOW OAKLAND , CA",-122.230619,37.7793766
100883,"ORANGE","PUBLIC","CAPISTRANO UNIFIED","SAN CLEMENTE","VISTA DEL MAR ELEMENTARY",120,93,"VISTA DEL MAR ELEMENTARY SAN CLEMENTE , CA",-117.5983743,33.468176
100909,"ORANGE","PUBLIC","CAPISTRANO UNIFIED","LADERA RANCH","LADERA RANCH ELEMENTARY",143,97,"LADERA RANCH ELEMENTARY LADERA RANCH , CA",-117.6370286,33.5535019
100925,"SAN DIEGO","PUBLIC","VISTA UNIFIED","OCEANSIDE","THE LEADERSHIP ACADEMY",129,99,"THE LEADERSHIP ACADEMY OCEANSIDE , CA",-117.2702776,33.2184606
100933,"SAN DIEGO","PUBLIC","VISTA UNIFIED","VISTA","HANNALEI ELEMENTARY",110,97,"HANNALEI ELEMENTARY VISTA , CA",-117.216721,33.178146
100958,"RIVERSIDE","PUBLIC","VAL VERDE UNIFIED","PERRIS","SIERRA VISTA ELEMENTARY",90,98,"SIERRA VISTA ELEMENTARY PERRIS , CA",-117.1821225,33.8253463
100974,"RIVERSIDE","PUBLIC","CORONA-NORCO UNIFIED","EASTVALE","CLARA BARTON ELEMENTARY",170,99,"CLARA BARTON ELEMENTARY EASTVALE , CA",-117.587948,33.9519199
100982,"RIVERSIDE","PUBLIC","CORONA-NORCO UNIFIED","CORONA","TEMESCAL VALLEY ELEMENTARY",143,99,"TEMESCAL VALLEY ELEMENTARY CORONA , CA",-117.4977598,33.7861105
101006,"RIVERSIDE","PUBLIC","BEAUMONT UNIFIED","BEAUMONT","SUNDANCE ELEMENTARY",131,98,"SUNDANCE ELEMENTARY BEAUMONT , CA",-116.9535988,33.9335675
101048,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","ST. HOPE PUBLIC SCHOOL 7",67,98,"ST. HOPE PUBLIC SCHOOL 7 SACRAMENTO , CA",-121.4670182,38.5283337
101097,"RIVERSIDE","PUBLIC","TEMECULA VALLEY UNIFIED","WINCHESTER","FRENCH VALLEY ELEMENTARY",161,98,"FRENCH VALLEY ELEMENTARY WINCHESTER , CA",-117.095221,33.5886403
101121,"RIVERSIDE","PUBLIC","HEMET UNIFIED","HEMET","MCSWEENY ELEMENTARY",128,98,"MCSWEENY ELEMENTARY HEMET , CA",-116.977145,33.7213495
101139,"RIVERSIDE","PUBLIC","HEMET UNIFIED","HEMET","HARMONY ELEMENTARY",116,98,"HARMONY ELEMENTARY HEMET , CA",-117.0161238,33.7217337
101147,"MENDOCINO","PUBLIC","UKIAH UNIFIED","UKIAH","GRACE HUDSON ELEMENTARY",93,98,"GRACE HUDSON ELEMENTARY UKIAH , CA",-123.2064757,39.1235253
101188,"STANISLAUS","PUBLIC","NEWMAN-CROWS LANDING UNIFIED","NEWMAN","HUNT ELEMENTARY",65,98,"HUNT ELEMENTARY NEWMAN , CA",-121.0291974,37.3193775
101253,"SONOMA","PUBLIC","PINER-OLIVET UNION ELEMENTARY","SANTA ROSA","JACK LONDON ELEMENTARY",37,95,"JACK LONDON ELEMENTARY SANTA ROSA , CA",-122.764332,38.480971
101295,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","SOL AUREUS COLLEGE PREPARATORY",48,95,"SOL AUREUS COLLEGE PREPARATORY SACRAMENTO , CA",-121.5269532,38.5076421
101360,"SAN DIEGO","PUBLIC","NATIONAL ELEMENTARY","NATIONAL CITY","INTEGRITY CHARTER",41,95,"INTEGRITY CHARTER NATIONAL CITY , CA",-117.1067315,32.6764078
101535,"SAN DIEGO","PUBLIC","ESCONDIDO UNION","ESCONDIDO","HERITAGE K8 CHARTER",117,94,"HERITAGE K8 CHARTER ESCONDIDO , CA",-117.0542897,33.1360214
101543,"LOS ANGELES","PUBLIC","WESTSIDE UNION ELEMENTARY","PALMDALE","ESPERANZA ELEMENTARY",163,99,"ESPERANZA ELEMENTARY PALMDALE , CA",-118.1954722,34.6178441
101592,"SAN DIEGO","PUBLIC","CHULA VISTA ELEMENTARY","CHULA VISTA","HEDENKAMP ANNE AND WILLIAM ELEMENTARY",136,99,"HEDENKAMP ANNE AND WILLIAM ELEMENTARY CHULA VISTA , CA",-117.0149035,32.6165399
101600,"LOS ANGELES","PUBLIC","CASTAIC UNION","CASTAIC","NORTHLAKE HILLS ELEMENTARY",104,98,"NORTHLAKE HILLS ELEMENTARY CASTAIC , CA",-118.6283541,34.5110125
101618,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES","RICHARD RIORDAN PRIMARY CENTER",107,98,"RICHARD RIORDAN PRIMARY CENTER LOS ANGELES , CA",-118.1966919,34.1111466
101626,"ORANGE","PUBLIC","SANTA ANA UNIFIED","SANTA ANA","EDWARD B. COLE ACADEMY",373,99,"EDWARD B. COLE ACADEMY SANTA ANA , CA",-117.8637306,33.7446083
101667,"LOS ANGELES","PUBLIC","INGLEWOOD UNIFIED","INGLEWOOD","WILDERS PREPARATORY ACADEMY CHARTER",60,90,"WILDERS PREPARATORY ACADEMY CHARTER INGLEWOOD , CA",-118.34899,33.959139
101683,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES","RENAISSANCE ARTS ACADEMY",23,83,"RENAISSANCE ARTS ACADEMY LOS ANGELES , CA",-118.2417253,34.1080205
101766,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","MCCLELLAN","COMMUNITY OUTREACH ACADEMY",176,62,"COMMUNITY OUTREACH ACADEMY MCCLELLAN , CA",-121.3868437,38.670944
101790,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","EDNA BATEY ELEMENTARY",119,99,"EDNA BATEY ELEMENTARY ELK GROVE , CA",-121.3437072,38.4154373
101857,"TULARE","PUBLIC","VISALIA UNIFIED","VISALIA","OAK GROVE ELEMENTARY",98,98,"OAK GROVE ELEMENTARY VISALIA , CA",-119.3407374,36.3488995
102277,"SACRAMENTO","PUBLIC","NATOMAS UNIFIED","SACRAMENTO","WITTER RANCH ELEMENTARY",136,99,"WITTER RANCH ELEMENTARY SACRAMENTO , CA",-121.5329352,38.636518
102301,"TEHAMA","PUBLIC","CORNING UNION ELEMENTARY","CORNING","WOODSON ELEMENTARY",75,97,"WOODSON ELEMENTARY CORNING , CA",-122.1936452,39.9362217
102327,"BUTTE","PUBLIC","THERMALITO UNION ELEMENTARY","OROVILLE","PLUMAS AVENUE ELEMENTARY",80,98,"PLUMAS AVENUE ELEMENTARY OROVILLE , CA",-121.5752892,39.5202843
102335,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES","OCEAN CHARTER",81,75,"OCEAN CHARTER LOS ANGELES , CA",-118.4234262,33.9873102
102343,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","ASPIRE CAPITOL HEIGHTS ACADEMY",44,95,"ASPIRE CAPITOL HEIGHTS ACADEMY SACRAMENTO , CA",-121.4701111,38.5552048
102376,"CONTRA COSTA","PUBLIC","BRENTWOOD UNION ELEMENTARY","BRENTWOOD","PIONEER ELEMENTARY",156,97,"PIONEER ELEMENTARY BRENTWOOD , CA",-121.736278,37.955245
102384,"SAN JOAQUIN","PUBLIC","TRACY JOINT UNIFIED","TRACY","PRIMARY CHARTER",99,98,"PRIMARY CHARTER TRACY , CA",-121.424435,37.7461601
102426,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES","PUC MILAGRO CHARTER",48,95,"PUC MILAGRO CHARTER LOS ANGELES , CA",-118.2196562,34.0667617
102483,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","CANOGA PARK","N.E.W. ACADEMY CANOGA PARK",83,98,"N.E.W. ACADEMY CANOGA PARK CANOGA PARK , CA",-118.5982704,34.2070438
102491,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES","DR. THEODORE T. ALEXANDER JR. SCIENCE CENTER",145,99,"DR. THEODORE T. ALEXANDER JR. SCIENCE CENTER LOS ANGELES , CA",-118.2839691,34.0171423
102517,"SAN BERNARDINO","PUBLIC","FONTANA UNIFIED","FONTANA","DOROTHY GRANT ELEMENTARY",93,98,"DOROTHY GRANT ELEMENTARY FONTANA , CA",-117.4635045,34.1259112
102566,"CONTRA COSTA","PUBLIC","SAN RAMON VALLEY UNIFIED","SAN RAMON","HIDDEN HILLS ELEMENTARY",80,98,"HIDDEN HILLS ELEMENTARY SAN RAMON , CA",-121.8936929,37.7646641
102574,"TULARE","PUBLIC","PORTERVILLE UNIFIED","PORTERVILLE","SANTA FE ELEMENTARY",171,99,"SANTA FE ELEMENTARY PORTERVILLE , CA",-119.0100198,36.06061
102582,"ORANGE","PUBLIC","FULLERTON ELEMENTARY","FULLERTON","ROBERT C. FISLER ELEMENTARY",96,98,"ROBERT C. FISLER ELEMENTARY FULLERTON , CA",-117.9617354,33.8851296
102608,"SAN DIEGO","PUBLIC","ESCONDIDO UNION","ESCONDIDO","FARR AVENUE ELEMENTARY",128,99,"FARR AVENUE ELEMENTARY ESCONDIDO , CA",-117.0772421,33.1380198
102616,"SANTA CLARA","PUBLIC","EVERGREEN ELEMENTARY","SAN JOSE","CAROLYN A. CLARK ELEMENTARY",75,98,"CAROLYN A. CLARK ELEMENTARY SAN JOSE , CA",-121.76956,37.321905
102624,"MERCED","PUBLIC","LOS BANOS UNIFIED","LOS BANOS","LORENA FALASCO ELEMENTARY",104,99,"LORENA FALASCO ELEMENTARY LOS BANOS , CA",-120.849785,37.0740801
102632,"SAN JOAQUIN","PUBLIC","LODI UNIFIED","STOCKTON","ANSEL ADAMS",97,98,"ANSEL ADAMS STOCKTON , CA",-121.2753777,38.0330652
102665,"SANTA CRUZ","PUBLIC","PAJARO VALLEY UNIFIED","WATSONVILLE","RADCLIFF ELEMENTARY",88,98,"RADCLIFF ELEMENTARY WATSONVILLE , CA",-121.7609297,36.9112738
102673,"SANTA CRUZ","PUBLIC","PAJARO VALLEY UNIFIED","WATSONVILLE","LANDMARK ELEMENTARY",101,99,"LANDMARK ELEMENTARY WATSONVILLE , CA",-121.776179,36.912782
102707,"TULARE","PUBLIC","DINUBA UNIFIED","DINUBA","JOHN F. KENNEDY ELEMENTARY",69,98,"JOHN F. KENNEDY ELEMENTARY DINUBA , CA",-119.3769252,36.5532307
102715,"RIVERSIDE","PUBLIC","SAN JACINTO UNIFIED","SAN JACINTO","ESTUDILLO ELEMENTARY",95,97,"ESTUDILLO ELEMENTARY SAN JACINTO , CA",-116.9420994,33.7785569
102723,"RIVERSIDE","PUBLIC","SAN JACINTO UNIFIED","SAN JACINTO","CLAYTON A. RECORD, JR., ELEMENTARY",152,99,"CLAYTON A. RECORD, JR., ELEMENTARY SAN JACINTO , CA",-116.9736807,33.8092971
102731,"RIVERSIDE","PUBLIC","MORENO VALLEY UNIFIED","MORENO VALLEY","TOWNGATE ELEMENTARY",123,98,"TOWNGATE ELEMENTARY MORENO VALLEY , CA",-117.2715897,33.9285686
